px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
41.5000573528,-5.47613876315,-30.807797664,51.9747478747,1.0,-41.11582475,6.5678802925,-83.612203267,93.4058873694,-1.0
41.5000573528,-5.47613876315,-30.807797664,51.9747478747,1.0,-40.6234076098,6.49213735081,-82.6117589597,92.2882602248,-1.0
41.5165864411,-5.478531056,-30.8141091946,51.9919391963,1.0,-40.6234076098,6.49213735081,-82.6117589597,92.2882602248,-1.0
11.8241541874,-28.5891036339,54.0503053357,62.2783601214,1.0,-10.4903930647,28.6936835347,23.2503862101,38.3922836524,-1.0
-10.5024579451,28.7257930676,23.2806406882,38.4379006294,-1.0,11.8241541874,-28.5891036339,54.0503053357,62.2783601214,1.0
-10.5024579451,28.7257930676,23.2806406882,38.4379006294,-1.0,11.7950282767,-28.5170664684,53.9133160649,62.1208707667,1.0
-10.4903930647,28.6936835347,23.2503862101,38.3922836524,-1.0,11.7950282767,-28.5170664684,53.9133160649,62.1208707667,1.0
-46.3027280547,-33.3400453463,-151.182742197,161.5912558,-1.0,16.9959969783,27.3413805481,-23.3448640334,39.7669315385,1.0
16.945984304,27.262141443,-23.277790331,39.6517014323,1.0,-46.3027280547,-33.3400453463,-151.182742197,161.5912558,-1.0
16.945984304,27.262141443,-23.277790331,39.6517014323,1.0,-46.2642706588,-33.3116517911,-151.073848592,161.472498515,-1.0
16.9959969783,27.3413805481,-23.3448640334,39.7669315385,1.0,-46.2642706588,-33.3116517911,-151.073848592,161.472498515,-1.0
7.96901303909,31.333812262,58.5459399744,66.8801256792,-1.0,-15.5578160217,-35.6098544317,17.160003089,42.4803983234,1.0
-15.5259176334,-35.5387804867,17.1240350787,42.3946078872,1.0,7.96901303909,31.333812262,58.5459399744,66.8801256792,-1.0
-15.5259176334,-35.5387804867,17.1240350787,42.3946078872,1.0,7.95239378766,31.2632309668,58.4039799648,66.7208079751,-1.0
-15.5578160217,-35.6098544317,17.160003089,42.4803983234,1.0,7.95239378766,31.2632309668,58.4039799648,66.7208079751,-1.0
-19.5686853109,-42.3302784348,5.19650843574,46.9233500591,-1.0,32.965094251,32.0011093344,7.84156923058,46.6076153573,1.0
33.1907353844,32.2160263958,7.89972707099,46.9245577878,1.0,-19.5686853109,-42.3302784348,5.19650843574,46.9233500591,-1.0
33.1907353844,32.2160263958,7.89972707099,46.9245577878,1.0,-19.5891626355,-42.3745742492,5.20025523477,46.9722647289,-1.0
32.965094251,32.0011093344,7.84156923058,46.6076153573,1.0,-19.5891626355,-42.3745742492,5.20025523477,46.9722647289,-1.0
-14.7912923541,47.8139113726,-1.24015328097,50.0649737252,-1.0,20.9382681692,-35.6087222226,-37.5860758903,55.8490504554,1.0
20.9859102721,-35.6913785845,-37.6661060765,55.9734726979,1.0,-14.7912923541,47.8139113726,-1.24015328097,50.0649737252,-1.0
20.9859102721,-35.6913785845,-37.6661060765,55.9734726979,1.0,-14.774919811,47.760985955,-1.2386755303,50.0095542429,-1.0
20.9382681692,-35.6087222226,-37.5860758903,55.8490504554,1.0,-14.774919811,47.760985955,-1.2386755303,50.0095542429,-1.0
22.4858369675,-38.4329845007,91.9911726076,102.201243452,1.0,-9.76604072635,-35.8438850961,-13.8710812915,39.6557399393,-1.0
